,상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
2841,땅콩네김밥,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 세지로94번길 7103호 (권선동),경기도 수원시 권선구 권선동 978-11번지 103호,권선동,16564.0,37.2600802212,127.0188355618
2842,때지,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 매영로 417,1층 (영통동)",경기도 수원시 영통구 영통동 1018-2번지 1층,영통동,16705.0,37.2488552887,127.077202503
2843,땡글이신맛집닭발,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 장안로7번길 34,1층 (영화동)",경기도 수원시 장안구 영화동 424-48번지 1층,영화동,16274.0,37.2867237616,127.0053201042
2844,땡기네,일반휴게음식-주점,일반휴게음식,주점,경기 수원시 권선구 덕영대로1145번길 55(세류동),경기도 수원시 권선구 세류동 1107-16번지,세류동,16589.0,37.2537200888,127.0175341164
2845,땡집,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 매산로116번길 74,1층 (매교동)",경기도 수원시 팔달구 매교동 122-13번지 1층,매교동,16466.0,37.2681870322,127.0152199429
2846,땡초불닭발,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 동수원로146번길 101,1층 102호 (곡반정동, 철빌딩)",경기도 수원시 권선구 곡반정동 506-1번지 철빌딩 1층 102호,곡반정동,16667.0,37.2458090807,127.03410282959999
2847,땡큐 꼬마김밥 망포점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 영통구 태장로 77,1층 107호 (망포동,망포동타운빌딩)",경기도 수원시 영통구 망포동 381-2번지 망포동타운빌딩 1층 107호,망포동,16688.0,37.2393625679,127.0547970647
2848,땡큐꼬마김밥(광교도청점),일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 영통구 센트럴타운로 15,141호 (이의동,아이플렉스)",경기도 수원시 영통구 이의동 1335번지 아이플렉스 141호,이의동,16508.0,37.2882098406,127.0573749572
2849,땡큐꼬마김밥(호매실점),일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 권선구 호매실로218번길 128,1층 106호 (호매실동,아트프라자)",경기도 수원시 권선구 호매실동 1376번지 아트프라자 1층 106호,호매실동,16402.0,37.2657896558,126.9610885091
2850,땡큐맘치킨,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 장안구 화산로125번길 5(천천동),경기도 수원시 장안구 천천동 334-1번지,천천동,16420.0,37.29426039,126.9803138998
