상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
웰스헬스,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 권선구 동수원로177번길 40,156호(권선동,수원아이파크시티8단지상가)",경기도 수원시 권선구 권선동 1364번지 수원아이파크시티8단지 상가 156호,권선동,16663,37.24689936,127.0294394
위너,일반휴게음식-칵테일바,일반휴게음식,칵테일바,"경기 수원시 영통구 청명로 28,1층 101호 (영통동)",경기도 수원시 영통구 영통동 1025-1번지 보보스스포렉스 1층 101호,영통동,16710,37.24969675,127.0806257
위너스치킨,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 덕영대로1323번길 25-33상가동 105호 (권선동,우남아파트)",경기도 수원시 권선구 권선동 1315번지 우남아파트 상가동 105호,권선동,16554,37.24688034,127.0337467
위대한밥상,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 매송고색로 8552층 (평동),경기도 수원시 권선구 평동 55-11번지 2층,평동,16599,37.25735278,126.9959155
위드블럭,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 영통로154번길 60,3층 일부호 (망포동)",경기도 수원시 영통구 망포동 417-2번지 3층 일부호,망포동,16691,37.24128038,127.0590363
위드커피(with coffee),일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 권선구 매탄로 11상가동 202호 (권선동, 현대아파트)",경기도 수원시 권선구 권선동 1240번지 현대아파트 상가동 202호,권선동,16550,37.25304405,127.0355693
위위,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 팔달구 향교로 19(매산로1가),경기도 수원시 팔달구 매산로1가 37-9번지,매산동,16455,37.26828127,127.0031625
위창 양꼬치,일반휴게음식-중국식,일반휴게음식,중국식,"경기 수원시 영통구 인계로 267,1층 (매탄동)",경기도 수원시 영통구 매탄동 840-8번지 1층,매탄동,16539,37.26399416,127.0467237
위캔커피(WECAN COFFEE),일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 봉영로 1613지1층 지06호(영통동, 영통하우스토리)",경기도 수원시 영통구 영통동 958-3번지 영통하우스토리 G동 1층 지06호,영통동,16703,37.25511729,127.0739311
위크버거(WEEK BURGER),일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 팔달구 인계로108번길 39-12,1층 (인계동, 수림빌딩)",경기도 수원시 팔달구 인계동 1032-3번지 수림빌딩 1층,인계동,16489,37.26566627,127.0294016
위크위크,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 권선구 권중로56번길 11,1층 (권선동)",경기도 수원시 권선구 권선동 1256-4번지 1층,권선동,16556,37.25264613,127.0306666
위트러스트커피 북수원점,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 장안구 경수대로1078번길 48(파장동),경기도 수원시 장안구 파장동 280번지,파장동,16205,37.31115774,126.9961433
